CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50 
2.804,1.11,0.618,0,6,1.317,6.254
2.43,0.496,0.849,0,1,1.237,3.133
3.036,0.405,1.205,0,1,2.351,4.247
3.386,0.251,1.225,0,0,1.586,3.086
3.69,1.159,1.295,0,2,4.449,5.749
2.841,0.88,1.705,0,3,0.226,1.647
3.177,0.629,0.871,0,0,3.315,3.365
3.393,1.292,2.122,0,3,1.595,3.477
2.803,1.501,1.124,0,0,4.053,5.385
3.05,0.405,0.868,1,3,2.233,6.195
2.748,0.223,1.705,0,0,0.8,1.589
2.222,0.711,0.849,0,0,0.828,3.641
2.351,1.586,1.25,0,4,3.659,6.416
2.938,1.385,1.225,0,2,1.02,4.593
3.734,0.223,1.282,0,0,2.502,3.387
2.479,0.887,0.954,0,0,1.748,4.208
2.824,0.223,1.0,1,0,2.102,3.36
2.216,0.582,0.839,0,0,2.127,3.62
2.568,0.389,1.012,0,0,2.296,3.513
2.508,0.58,0.941,0,0,1.701,3.799
2.802,0.223,1.6,1,0,1.064,3.937
1.5,1.278,1.868,0,0,2.604,3.916
3.012,0.223,0.76,0,0,2.637,4.62
2.978,1.246,1.103,0,1,3.988,6.535
3.684,1.275,1.072,0,1,4.764,7.691
3.734,0.223,1.374,0,0,3.661,5.159
3.199,0.56,2.033,0,0,-0.129,1.02
4.285,0.134,1.71,0,0,3.467,5.38
2.031,0.891,0.822,0,0,2.956,4.42
3.332,0.134,0.909,0,0,3.051,4.891
4.278,0.405,1.345,0,0,3.546,4.668
3.591,0.58,1.685,0,1,1.851,4.117
3.2,0.711,1.235,0,3,0.779,2.681
3.421,0.58,1.7,0,1,1.57,5.029
3.426,0.85,1.792,0,0,2.59,4.377
2.441,0.88,1.54,0,2,0.057,4.92
2.034,0.331,2.672,1,0,-0.273,0.841
4.171,0.693,1.678,0,2,2.849,4.976
3.828,1.259,0.966,1,2,4.279,8.604
2.08,0.496,0.858,0,0,1.887,3.022
2.085,1.079,0.895,0,0,4.063,4.74
3.465,2.171,0.888,0,0,6.515,3.623
2.242,1.096,1.907,0,1,-1.96,3.396
3.098,0.93,1.075,0,0,2.702,5.65
1.886,0.988,0.764,0,0,2.343,3.889
3.52,0.223,1.562,1,0,2.129,3.629
2.309,0.762,0.845,1,0,1.091,3.601
2.377,0.331,2.111,0,0,-0.534,2.156
1.512,0.57,0.879,0,1,-0.317,2.445
2.707,0.972,1.889,0,3,-1.169,2.976
4.536,0.223,1.29,0,0,4.907,6.634
1.359,0.134,1.13,1,0,0.094,3.47
2.386,0.223,0.857,0,0,1.506,3.513
2.024,0.83,1.761,0,0,2.226,3.007
3.611,0.331,2.017,0,0,1.393,2.859
2.928,1.131,0.908,0,2,3.508,5.86
2.512,0.134,1.293,0,0,0.846,2.364
